slug,index,Intervention,Time_after_intervention,commits_count,comments,amounts
PitchBlackRecoveryProject,-2,0,0,23,0,0
PitchBlackRecoveryProject,-1,0,0,16,0,0
PitchBlackRecoveryProject,0,1,0,56,3,1
PitchBlackRecoveryProject,1,1,1,13,0,0
PitchBlackRecoveryProject,2,1,2,17,6,1
PitchBlackRecoveryProject,3,1,3,37,0,0
PitchBlackRecoveryProject,4,1,4,63,0,0
PitchBlackRecoveryProject,5,1,5,3,0,0
PitchBlackRecoveryProject,6,1,6,4,0,0
PolyMC,-6,0,0,1,0,0
PolyMC,-5,0,0,2,0,0
PolyMC,-4,0,0,6,0,0
PolyMC,-3,0,0,38,0,0
PolyMC,-2,0,0,8,0,0
PolyMC,-1,0,0,5,0,0
PolyMC,0,1,0,13,13,1
PolyMC,1,1,1,7,8,3
PolyMC,2,1,2,1,0,0
PolyMC,3,1,3,35,2,2
PolyMC,4,1,4,14,16,2
PolyMC,5,1,5,17,1,2
PolyMC,6,1,6,15,0,1
PowerNukkit,-6,0,0,0,0,0
PowerNukkit,-5,0,0,0,0,0
PowerNukkit,-4,0,0,0,0,0
PowerNukkit,-3,0,0,0,0,0
PowerNukkit,-2,0,0,6,0,0
PowerNukkit,-1,0,0,8,0,0
PowerNukkit,0,1,0,22,5,2
PowerNukkit,1,1,1,7,0,3
PowerNukkit,2,1,2,13,0,1
PowerNukkit,3,1,3,13,0,0
PowerNukkit,4,1,4,6,0,0
PowerNukkit,5,1,5,8,0,0
PowerNukkit,6,1,6,1,0,0
ProjectSakura,-6,0,0,58,0,0
ProjectSakura,-5,0,0,37,0,0
ProjectSakura,-4,0,0,81,0,0
ProjectSakura,-3,0,0,39,0,0
ProjectSakura,-2,0,0,19,0,0
ProjectSakura,-1,0,0,41,0,0
ProjectSakura,0,1,0,26,0,1
ProjectSakura,1,1,1,15,0,0
ProjectSakura,2,1,2,59,0,1
ProjectSakura,3,1,3,5,0,0
ProjectSakura,4,1,4,0,0,0
ProjectSakura,5,1,5,0,0,0
ProjectSakura,6,1,6,0,0,0
Psionica,-6,0,0,0,0,0
Psionica,-5,0,0,0,0,0
Psionica,-4,0,0,0,0,0
Psionica,-3,0,0,0,0,0
Psionica,-2,0,0,0,0,0
Psionica,-1,0,0,0,0,0
Psionica,0,1,0,0,0,1
Psionica,1,1,1,0,0,0
Psionica,2,1,2,0,0,0
Psionica,3,1,3,58,0,1
Psionica,4,1,4,8,0,0
Psionica,5,1,5,20,0,0
Psionica,6,1,6,2,0,0
QuantEcon,-6,0,0,0,0,0
QuantEcon,-5,0,0,0,0,0
QuantEcon,-4,0,0,0,0,0
QuantEcon,-3,0,0,0,0,0
QuantEcon,-2,0,0,0,0,0
QuantEcon,-1,0,0,0,0,0
QuantEcon,0,1,0,0,1,4
QuantEcon,1,1,1,0,1,1
QuantEcon,2,1,2,3,2,2
QuantEcon,3,1,3,2,16,8
QuantEcon,4,1,4,3,0,1
QuantEcon,5,1,5,29,0,0
QuantEcon,6,1,6,16,5,4
Retrospring,-6,0,0,0,0,0
Retrospring,-5,0,0,7,0,0
Retrospring,-4,0,0,0,0,0
Retrospring,-3,0,0,1,0,0
Retrospring,-2,0,0,0,0,0
Retrospring,-1,0,0,10,0,0
Retrospring,0,1,0,34,2,2
Retrospring,1,1,1,42,1,2
Retrospring,2,1,2,51,0,0
Retrospring,3,1,3,0,0,0
Retrospring,4,1,4,6,0,0
Retrospring,5,1,5,3,0,0
Retrospring,6,1,6,15,0,0
RustFestEU,-6,0,0,0,0,0
RustFestEU,-5,0,0,0,0,0
RustFestEU,-4,0,0,0,0,0
RustFestEU,-3,0,0,0,0,0
RustFestEU,-2,0,0,2,0,0
RustFestEU,-1,0,0,0,0,0
RustFestEU,0,1,0,27,4,2
RustFestEU,1,1,1,0,0,3
RustFestEU,2,1,2,0,10,2
RustFestEU,3,1,3,0,24,4
RustFestEU,4,1,4,46,0,1
